species,form,acquisition_method,map,encounter_type,badge_requirement,rate,evolution_source,quest,notes
SPECIES_SPRIGATITO,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,5,,Gen 9 Sevii Reserve,morning deterministic slot 8
SPECIES_SPRITZEE,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,4,,Gen 9 Sevii Reserve,morning deterministic slot 9
SPECIES_SQUAWKABILLY,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,4,,Gen 9 Sevii Reserve,morning deterministic slot 10
SPECIES_STAKATAKA,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,1,,Gen 9 Sevii Reserve,morning deterministic slot 11
SPECIES_STARLY,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,1,,Gen 9 Sevii Reserve,morning deterministic slot 12
SPECIES_STARYU,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,20,,Gen 9 Sevii Reserve,day deterministic slot 1
SPECIES_STONJOURNER,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,20,,Gen 9 Sevii Reserve,day deterministic slot 2
SPECIES_STUFFUL,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 3
SPECIES_STUNFISK,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 4
SPECIES_STUNKY,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 5
SPECIES_SUICUNE,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 6
SPECIES_SUNKERN,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,5,,Gen 9 Sevii Reserve,day deterministic slot 7
SPECIES_SURSKIT,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,5,,Gen 9 Sevii Reserve,day deterministic slot 8
SPECIES_SWABLU,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,4,,Gen 9 Sevii Reserve,day deterministic slot 9
SPECIES_SWIRLIX,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,4,,Gen 9 Sevii Reserve,day deterministic slot 10
SPECIES_TADBULB,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,1,,Gen 9 Sevii Reserve,day deterministic slot 11
SPECIES_TANDEMAUS,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,1,,Gen 9 Sevii Reserve,day deterministic slot 12
SPECIES_TAPU_BULU,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,20,,Gen 9 Sevii Reserve,evening deterministic slot 1
SPECIES_TAPU_FINI,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,20,,Gen 9 Sevii Reserve,evening deterministic slot 2
SPECIES_TAPU_KOKO,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 3
SPECIES_TAPU_LELE,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 4
SPECIES_TAROUNTULA,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 5
SPECIES_TATSUGIRI,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 6
SPECIES_TEPIG,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,5,,Gen 9 Sevii Reserve,evening deterministic slot 7
SPECIES_TERAPAGOS,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,5,,Gen 9 Sevii Reserve,evening deterministic slot 8
SPECIES_TERRAKION,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,4,,Gen 9 Sevii Reserve,evening deterministic slot 9
SPECIES_THROH,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,4,,Gen 9 Sevii Reserve,evening deterministic slot 10
SPECIES_THUNDURUS,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,1,,Gen 9 Sevii Reserve,evening deterministic slot 11
SPECIES_TIMBURR,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,1,,Gen 9 Sevii Reserve,evening deterministic slot 12
SPECIES_TING_LU,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,20,,Gen 9 Sevii Reserve,night deterministic slot 1
SPECIES_TIRTOUGA,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,20,,Gen 9 Sevii Reserve,night deterministic slot 2
SPECIES_TOEDSCOOL,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 3
SPECIES_TOGEDEMARU,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 4
SPECIES_TORCHIC,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 5
SPECIES_TORKOAL,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 6
SPECIES_TORNADUS,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,5,,Gen 9 Sevii Reserve,night deterministic slot 7
SPECIES_TOTODILE,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,5,,Gen 9 Sevii Reserve,night deterministic slot 8
SPECIES_TRAPINCH,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,4,,Gen 9 Sevii Reserve,night deterministic slot 9
SPECIES_TREECKO,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,4,,Gen 9 Sevii Reserve,night deterministic slot 10
SPECIES_TROPIUS,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,1,,Gen 9 Sevii Reserve,night deterministic slot 11
SPECIES_TRUBBISH,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,1,,Gen 9 Sevii Reserve,night deterministic slot 12
SPECIES_TURTONATOR,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,20,,Gen 9 Sevii Reserve,morning deterministic slot 1
SPECIES_TURTWIG,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,20,,Gen 9 Sevii Reserve,morning deterministic slot 2
SPECIES_TYMPOLE,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 3
SPECIES_TYNAMO,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 4
SPECIES_TYPE_NULL,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 5
SPECIES_TYROGUE,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 6
SPECIES_TYRUNT,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,5,,Gen 9 Sevii Reserve,morning deterministic slot 7
SPECIES_UXIE,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,5,,Gen 9 Sevii Reserve,morning deterministic slot 8
SPECIES_VANILLITE,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,4,,Gen 9 Sevii Reserve,morning deterministic slot 9
SPECIES_VAROOM,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,4,,Gen 9 Sevii Reserve,morning deterministic slot 10
SPECIES_VELUZA,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,1,,Gen 9 Sevii Reserve,morning deterministic slot 11
SPECIES_VENIPEDE,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,1,,Gen 9 Sevii Reserve,morning deterministic slot 12
SPECIES_VICTINI,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,20,,Gen 9 Sevii Reserve,day deterministic slot 1
SPECIES_VIRIZION,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,20,,Gen 9 Sevii Reserve,day deterministic slot 2
SPECIES_VOLBEAT,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 3
SPECIES_VOLCANION,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 4
SPECIES_VULLABY,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 5
SPECIES_WAILMER,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 6
SPECIES_WALKING_WAKE,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,5,,Gen 9 Sevii Reserve,day deterministic slot 7
SPECIES_WATTREL,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,5,,Gen 9 Sevii Reserve,day deterministic slot 8
SPECIES_WHISMUR,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,4,,Gen 9 Sevii Reserve,day deterministic slot 9
SPECIES_WIGLETT,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,4,,Gen 9 Sevii Reserve,day deterministic slot 10
SPECIES_WIMPOD,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,1,,Gen 9 Sevii Reserve,day deterministic slot 11
SPECIES_WISHIWASHI,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,1,,Gen 9 Sevii Reserve,day deterministic slot 12
SPECIES_WOOBAT,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,20,,Gen 9 Sevii Reserve,evening deterministic slot 1
SPECIES_WOOLOO,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,20,,Gen 9 Sevii Reserve,evening deterministic slot 2
SPECIES_WO_CHIEN,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 3
SPECIES_WURMPLE,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 4
SPECIES_WYNAUT,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 5
SPECIES_XERNEAS,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 6
SPECIES_XURKITREE,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,5,,Gen 9 Sevii Reserve,evening deterministic slot 7
SPECIES_YAMASK,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,5,,Gen 9 Sevii Reserve,evening deterministic slot 8
SPECIES_YUNGOOS,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,4,,Gen 9 Sevii Reserve,evening deterministic slot 9
SPECIES_YVELTAL,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,4,,Gen 9 Sevii Reserve,evening deterministic slot 10
SPECIES_ZACIAN,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,1,,Gen 9 Sevii Reserve,evening deterministic slot 11
SPECIES_ZAMAZENTA,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,1,,Gen 9 Sevii Reserve,evening deterministic slot 12
SPECIES_ZANGOOSE,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,20,,Gen 9 Sevii Reserve,night deterministic slot 1
SPECIES_ZARUDE,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,20,,Gen 9 Sevii Reserve,night deterministic slot 2
SPECIES_ZEKROM,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 3
SPECIES_ZERAORA,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 4
SPECIES_ZYGARDE,,wild reserve,FIVE_ISLAND_MEADOW,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 5
